model,brand,name,cost,megapixels
Canon EOS 7D Mark II,Canon,EOS 7D Mark II,500,20.2
NIKON D500,Nikon,D500,1000,20.9
Canon EOS R5,Canon,EOS R5,2300,45
Canon EOS 7D,Canon,EOS 7D,200,18
NIKON D850,Nikon,D850,1500,45.7
Canon EOS R7,Canon,EOS R7,1500,32.5
NIKON D7200,Nikon,D7200,550,24.2
NIKON D7500,Nikon,D7500,700,20.9
Canon EOS 80D,Canon,EOS 80D,500,24.2
Canon EOS 5D Mark IV,Canon,EOS 5D Mark IV,1000,30.4
Canon EOS 90D,Canon,EOS 90D,900,32.5
NIKON D7100,Nikon,D7100,300,24.1
COOLPIX P900,Nikon,COOLPIX P900,600,16
Canon EOS R6,Canon,EOS R6,2500,20.1
Canon EOS 70D,Canon,EOS 70D,400,20.2
NIKON D750,Nikon,D750,750,24.3
Canon EOS 5D Mark III,Canon,EOS 5D Mark III,700,22.3
NIKON Z 9,Nikon,Z9,4500,45.7
Canon EOS-1D X Mark II,Canon,EOS-1D X Mark II,1600,20.2
DSC-RX10M4,Sony,Cyber-shot DSC-RX10 IV,1200,20.1
ILCE-1,Sony,Alpha 1,4100,50
NIKON D5300,Nikon,D5300,400,24.2
Canon EOS 60D,Canon,EOS 60D,200,18
COOLPIX P1000,Nikon,COOLPIX P1000,1000,16
E-M1MarkII,Olympus,OM-D E-M1 Mark II,500,20.4
OM-1,Olympus,OM-1,1200,20.4
NIKON D7000,Nikon,D7000,200,16.2
NIKON D5600,Nikon,D5600,500,24.2
ILCE-7M3,Sony,Alpha 7 III,1500,24.2
Canon PowerShot SX60 HS,Canon,PowerShot SX60 HS,500,20.3
NIKON Z 8,Nikon,Z8,3500,45.7
Canon EOS-1D X,Canon,EOS-1D X,1000,18.1
ILCE-7M4,Sony,Alpha 7 IV,2500,33
NIKON D810,Nikon,D810,800,36.3
COOLPIX P950,Nikon,COOLPIX P950,800,16
NIKON D3400,Nikon,D3400,250,24.2
ILCE-7RM4,Sony,Alpha 7R IV,2000,61
Canon PowerShot SX50 HS,Canon,PowerShot SX50 HS,200,12.1
Canon EOS 6D Mark II,Canon,EOS 6D Mark II,750,26.2
NIKON D610,Nikon,D610,500,24.3
DC-G9,Panasonic,Lumix G9,500,20.3
NIKON D5200,Nikon,D5200,250,24.1
NIKON D5,Nikon,D5,2100,20.8
ILCE-9,Sony,Alpha 9,1500,24.2
Canon EOS 6D,Canon,EOS 6D,700,26.2
Canon EOS 77D,Canon,EOS 77D,450,24.2
NIKON D800,Nikon,D800,350,36.3
NIKON D3300,Nikon,D3300,250,24.2
NIKON D3500,Nikon,D3500,500,24.2
Canon EOS-1D Mark IV,Canon,EOS-1D Mark IV,600,16.1
Canon EOS Rebel T7i,Canon,EOS Rebel T7i,600,24.2
E-M1X,Olympus,OM-D E-M1X,800,20.4
ILCE-9M2,Sony,Alpha 9 II,2500,24.2
Canon EOS 600D,Canon,EOS Rebel T3i,150,18
COOLPIX B700,Nikon,COOLPIX B700,400,20.2
NIKON Z 7_2,Nikon,Z7 II,1500,45.7
DMC-FZ300,Panasonic,Lumix DMC-FZ300,400,12.1
Canon PowerShot SX70 HS,Canon,PowerShot SX70 HS,700,20.3
NIKON D600,Nikon,D600,400,24.3
NIKON Z 6_2,Nikon,Z6 II,1200,24.5
NIKON D4S,Nikon,D4S,1000,16.2
NIKON D5500,Nikon,D5500,400,24.2
Canon EOS 5DS R,Canon,EOS 5DS R,1200,50.6
ILCE-6400,Sony,Alpha 6400,650,24.2
Canon EOS Rebel T6,Canon,EOS Rebel T6,250,18
ILCE-6500,Sony,Alpha 6500,500,24.2
Canon EOS Rebel T6i,Canon,EOS Rebel T6i,300,24.2
Canon EOS REBEL T3i,Canon,EOS Rebel T3i,150,18
Canon EOS R6m2,Canon,EOS R6 II,2000,24.2
Canon EOS R3,Canon,EOS R3,3000,24
NIKON D90,Nikon,D90,150,12.3
ILCE-7RM4A,Sony,Alpha 7R IVa,2500,61
Canon EOS 5D Mark II,Canon,EOS 5D Mark II,350,21.1
NIKON D300,Nikon,D300,150,12.3
NIKON D4,Nikon,D4,600,16.2
ILCE-7RM3,Sony,Alpha 7R III,1500,42.4
DSC-RX10M3,Sony,Cyber-shot DSC-RX10 III,500,20.1
PENTAX K-3,Pentax,K-3,500,24.3
Canon EOS 700D,Canon,EOS Rebel T5i,300,18
ILCE-6600,Sony,Alpha 6600,1200,24.2
COOLPIX P610,Nikon,COOLPIX P610,250,16
Canon EOS REBEL T5i,Canon,EOS Rebel T5i,300,18
ILCE-7RM5,Sony,Alpha 7R V,3500,61
Canon EOS R10,Canon,EOS R10,650,24.2
Canon EOS R,Canon,EOS R,1000,30.3
NIKON D3200,Nikon,D3200,200,24.2
Canon EOS R8,Canon,EOS R8,1500,24.2
NIKON Z 7,Nikon,Z7,1000,45.7
Canon EOS REBEL T5,Canon,EOS Rebel T5,200,18
Canon EOS 40D,Canon,EOS 40D,100,10.1
E-M5MarkII,Olympus,OM-D E-M5 Mark II,1000,16
Canon EOS RP,Canon,EOS RP,550,26.2
ILCE-6700,Sony,Alpha 6700,1300,26
NIKON D700,Nikon,D700,300,12.1
NIKON Z 5,Nikon,Z5,1100,24.3
Canon EOS REBEL T2i,Canon,EOS Rebel T2i,150,18
NIKON Z 6,Nikon,Z6,1000,24.5
Canon PowerShot SX40 HS,Canon,PowerShot SX40 HS,50,12.1
NIKON D5100,Nikon,D5100,150,16.2
DSC-HX400V,Sony,Cyber-shot DSC-HX400V,150,20.4
COOLPIX P600,Nikon,COOLPIX P600,250,16.1
Canon EOS 550D,Canon,EOS Rebel T2i,150,18
Canon EOS 5DS,Canon,EOS 5DS,1000,50.6
Canon EOS 800D,Canon,EOS Rebel T7i,600,24.2
Canon EOS REBEL T4i,Canon,EOS Rebel T4i,300,18
DMC-GX8,Panasonic,Lumix DMC-GX8,500,20.3
NIKON Z 50,Nikon,Z50,600,20.9
Canon EOS-1D Mark III,Canon,EOS-1D Mark III,500,10.1
ILCE-7RM2,Sony,Alpha 7R II,1000,42.4
ILCE-6300,Sony,Alpha 6300,500,24.2
ILCE-7M2,Sony,Alpha 7 II,600,24.3
Canon EOS-1D X Mark III,Canon,EOS-1D X Mark III,6500,20.1
Canon EOS 750D,Canon,EOS Rebel T6i,300,24.2
X-T3,Fujifilm,X-T3,1000,26.1
NIKON D800E,Nikon,D800E,600,36.3
NIKON D6,Nikon,D6,6500,20.8
Canon EOS DIGITAL REBEL XSi,Canon,EOS 450D,100,12.2
Canon EOS 200D,Canon,EOS 200D,200,24.2
E-M1MarkIII,Olympus,OM-D E-M1 Mark III,1800,20.4
ILCE-6000,Sony,Alpha 6000,300,24.3
Canon PowerShot G3 X,Canon,PowerShot G3 X,300,20.2
DMC-FZ70,Panasonic,Lumix DMC-FZ70,200,16.1
SLT-A65V,Sony,Alpha SLT-A65,200,24.3
SLT-A77V,Sony,Alpha SLT-A77,400,24.3
Canon EOS DIGITAL REBEL XTi,Canon,EOS 400D,25,10.1
ILCA-77M2,Sony,Alpha 77 II,500,24.3
Canon EOS REBEL T3,Canon,EOS Rebel T3,200,12.2
Canon EOS REBEL T7i,Canon,EOS Rebel T7i,600,24.2
NIKON D300S,Nikon,D300S,200,12.3
Canon EOS REBEL T1i,Canon,EOS Rebel T1i,100,15.1
NIKON D780,Nikon,D780,2300,24.5
NIKON D3100,Nikon,D3100,200,14.2
Canon EOS 2000D,Canon,EOS Rebel T7,300,24.1
Canon EOS 1200D,Canon,EOS Rebel T5,200,18
Canon EOS 50D,Canon,EOS 50D,150,15.1
Canon EOS 100D,Canon,EOS Rebel SL1,200,18
NIKON D200,Nikon,D200,100,10.2
FinePix SL300,Fujifilm,FinePix SL300,150,14
iPhone 12 Pro,Apple,iPhone 12 Pro,500,12
iPhone 12,Apple,iPhone 12,200,12
DSC-H400,Sony,Cyber-shot DSC-H400,200,20.1
X-T30,Fujifilm,X-T30,500,26.1
PHOTOfunSTUDIO 9.7 PE,,,,
Canon EOS DIGITAL REBEL XT,Canon,EOS 350D,25,8
DSC-HX350,Sony,Cyber-shot DSC-HX350,50,20.4
NIKON D60,Nikon,D60,100,10.2
"""NIKON D7000""",Nikon,D7000,200,16.2
DC-TZ95,Panasonic,Lumix DC-TZ95,800,20.3
DMC-G80,Panasonic,Lumix DMC-G80,300,16
--,,,,
Canon PowerShot SX720 HS,Canon,PowerShot SX720 HS,500,20.3
DMC-FZ200,Panasonic,Lumix DMC-FZ200,200,12.1
X-T4,Fujifilm,X-T4,1200,26.1
Canon PowerShot SX540 HS,Canon,PowerShot SX540 HS,200,20.3
COOLPIX P520,Nikon,COOLPIX P520,300,18.1
ILCE-7C,Sony,Alpha 7C,1200,24.2
DMC-GX7,Panasonic,Lumix DMC-GX7,400,16
E-M5,Olympus,OM-D E-M5,300,16.1
DMC-G85,Panasonic,Lumix DMC-G85,400,16
PENTAX K-3 II,Pentax,K-3 II,700,24.3
DMC-FZ72,Panasonic,Lumix DMC-FZ72,200,16.1
Canon EOS 500D,Canon,EOS Rebel T1i,100,15.1
OM-1MarkII,Olympus,OM-1 Mark II,500,20.4
NIKON D3,Nikon,D3,500,12.1
Canon EOS 200D II,Canon,EOS Rebel SL3,400,24.1
DSC-HX100V,Sony,Cyber-shot DSC-HX100V,200,16.2
NIKON 1 V2,Nikon,1 V2,100,14.2
DMC-FZ2500,Panasonic,Lumix DMC-FZ2500,600,20.1
Canon EOS 1300D,Canon,EOS Rebel T6,250,18
DSLR-A200,Sony,Alpha DSLR-A200,100,10.2
Canon EOS REBEL SL1,Canon,EOS Rebel SL1,200,18
ILCE-9M3,Sony,Alpha 9 III,5000,24.6
SM-A528B,Samsung,Galaxy A52s 5G,300,64
NIKON Z6_3,Nikon,Z6 II,2200,24.5
DMC-FZ1000,Panasonic,Lumix DMC-FZ1000,500,20.1
Canon EOS 760D,Canon,EOS Rebel T6,250,18
MODEL-NAME,,,,
Canon EOS Rebel T6s,Canon,EOS Rebel T6s,650,24.2
SLT-A57,Sony,Alpha SLT-A57,500,16.1
Canon EOS Rebel SL2,Canon,EOS 200D,200,24.2
DSC-RX100M7,Sony,Cyber-shot DSC-RX100 VII,1200,20.1
COOLPIX B500,Nikon,COOLPIX B500,200,16
Canon EOS 4000D,Canon,EOS Rebel T100,300,18
DC-FZ80,Panasonic,Lumix DC-FZ80,400,18.1
ILCE-6100,Sony,Alpha 6100,750,24.2
Canon PowerShot SX530 HS,Canon,PowerShot SX530 HS,250,16
DMC-GH3,Panasonic,Lumix DMC-GH3,300,16.1
DC-GH5,Panasonic,Lumix DC-GH5,200,20.3
iPhone 15 Pro,Apple,iPhone 15 Pro,600,48
E-M1,Olympus,OM-D E-M1,300,16.3
FinePix S1,Fujifilm,FinePix S1,300,16.4
NIKON D80,Nikon,D80,100,10.2
PENTAX K-5,Pentax,K-5,300,16.3
DMC-FZ60,Panasonic,Lumix DMC-FZ60,100,16.1
DMC-G7,Panasonic,Lumix DMC-G7,500,16
Canon EOS R5m2,Canon,EOS R5 II,4000,45
Canon EOS Rebel SL3,Canon,EOS Rebel SL3,500,24.1
ILCE-7SM3,Sony,Alpha 7S III,3000,12.1
DC-GX9,Panasonic,Lumix DC-GX9,1000,20.3
Canon EOS 1100D,Canon,EOS Rebel T3,200,12.2
D850,Nikon,D850,1000,45.7
NIKON D5000,Nikon,D5000,200,12.3
E-M10 Mark III,Olympus,OM-D E-M10 Mark III,500,16.1
Canon EOS M5,Canon,EOS M5,500,24.2
iPhone XR,Apple,iPhone XR,150,12
ILCE-7RM3A,Sony,Alpha 7R IIIa,1500,42.4
SLT-A58,Sony,Alpha SLT-A58,300,20.1
SM-G975F,Samsung,Galaxy S10+,400,16
DC-FZ10002,Panasonic,Lumix DC-FZ1000 II,700,20.1
iPhone 6s,Apple,iPhone 6s,50,12
EOS 7D,Canon,EOS 7D,200,18
COOLPIX B600,Nikon,COOLPIX B600,200,16
Canon EOS 650D,Canon,EOS Rebel T4i,300,18
SM-G973F,Samsung,Galaxy S10,150,16
SLT-A55V,Sony,Alpha SLT-A55,500,16.2