id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Canon EOS 7D Mark II,400,4.89,2.99,EF100-400mm f/4.5-5.6L IS II USM,155.0,4.93,426,87875731,Aplomado Falcon,Christian Fernandez,2018,https://macaulaylibrary.org/asset/87875731,Canon,EOS 7D Mark II,500.0,20.2
Nikon D500,319,4.9,3.04,200.0-500.0 mm f/5.6,72.0,4.94,428,432138011,Cliff Swallow,Anne Spiers,2022,https://macaulaylibrary.org/asset/432138011,Nikon,D500,1000.0,20.9
Canon EOS R5,120,4.94,3.02,RF100-500mm F4.5-7.1 L IS USM,54.0,4.94,452,534030941,Harlequin Duck,Josh Cooper,2023,https://macaulaylibrary.org/asset/534030941,Canon,EOS R5,2300.0,45.0
Canon EOS 7D,82,4.88,2.98,EF400mm f/5.6L USM,20.0,4.85,207,171326041,Harpy Eagle,Ramiro Ramirez,2019,https://macaulaylibrary.org/asset/171326041,Canon,EOS 7D,200.0,18.0
Nikon D850,80,4.89,2.97,500.0 mm f/5.6,20.0,4.91,339,491555361,Cooper's Hawk,Jen Davis,2022,https://macaulaylibrary.org/asset/491555361,Nikon,D850,1500.0,45.7
Canon EOS R7,73,4.95,2.9,RF100-500mm F4.5-7.1 L IS USM,34.0,4.98,171,613934009,Striped Crake,Jandre Verster,2024,https://macaulaylibrary.org/asset/613934009,Canon,EOS R7,1500.0,32.5
Nikon D7200,73,4.89,2.94,200.0-500.0 mm f/5.6,18.0,4.92,111,299102041,Barrow's Goldeneye,Max Brodie,2021,https://macaulaylibrary.org/asset/299102041,Nikon,D7200,550.0,24.2
Nikon D7500,71,4.91,2.95,200.0-500.0 mm f/5.6,17.0,4.96,129,159839731,Golden-winged Warbler,Sylvain Messier,2019,https://macaulaylibrary.org/asset/159839731,Nikon,D7500,700.0,20.9
Canon EOS 80D,65,4.88,3.03,EF100-400mm f/4.5-5.6L IS II USM,14.0,4.88,142,50366231,Black-throated Blue Warbler,Aaron Marshall,2016,https://macaulaylibrary.org/asset/50366231,Canon,EOS 80D,500.0,24.2
Canon EOS 5D Mark IV,59,4.9,2.98,EF100-400mm f/4.5-5.6L IS II USM,19.0,4.96,186,355934311,Rufous Hummingbird,Chuck Gates,2021,https://macaulaylibrary.org/asset/355934311,Canon,EOS 5D Mark IV,1000.0,30.4
Canon EOS 90D,55,4.9,2.93,EF100-400mm f/4.5-5.6L IS II USM,18.0,4.98,169,588925691,Blue-headed Vireo,Emilia Deino,2023,https://macaulaylibrary.org/asset/588925691,Canon,EOS 90D,900.0,32.5
Nikon D7100,53,4.87,2.85,200.0-500.0 mm f/5.6,9.0,4.93,154,240239681,Cedar Waxwing,Joshua Brown,2020,https://macaulaylibrary.org/asset/240239681,Nikon,D7100,300.0,24.1
Nikon COOLPIX P900,48,4.77,2.76,,,4.98,168,166326141,African Penguin,Kalin OcaÃ±a,2019,https://macaulaylibrary.org/asset/166326141,Nikon,COOLPIX P900,600.0,16.0
Canon EOS R6,43,4.92,3.08,RF100-500mm F4.5-7.1 L IS USM,16.0,4.97,357,448672911,Cerulean Warbler,Joley Sullivan,2022,https://macaulaylibrary.org/asset/448672911,Canon,EOS R6,2500.0,20.1
Canon EOS 70D,42,4.84,2.89,EF400mm f/5.6L USM,11.0,4.92,118,43828641,Tufted Titmouse,Gates Dupont,2016,https://macaulaylibrary.org/asset/43828641,Canon,EOS 70D,400.0,20.2
Nikon D750,38,4.88,2.97,200.0-500.0 mm f/5.6,10.0,5.0,172,393898841,Black-collared Swallow,Tyler Ficker,2021,https://macaulaylibrary.org/asset/393898841,Nikon,D750,750.0,24.3
Canon EOS 5D Mark III,38,4.91,3.04,EF400mm f/5.6L USM,4.0,4.9,203,592481491,Black Tern,Josiah Vandenberg,2023,https://macaulaylibrary.org/asset/592481491,Canon,EOS 5D Mark III,700.0,22.3
Nikon Z9,37,4.96,3.12,AF-S NIKKOR 500mm f/5.6E PF ED VR,7.0,4.93,269,611064226,Evening Grosbeak,FABRICE SIMON,2023,https://macaulaylibrary.org/asset/611064226,Nikon,Z9,4500.0,45.7
Canon EOS-1D X Mark II,35,4.95,2.95,EF500mm f/4L IS II USM +1.4x III,4.0,4.93,114,407322241,Greater Roadrunner,Michael Henry,2022,https://macaulaylibrary.org/asset/407322241,Canon,EOS-1D X Mark II,1600.0,20.2
Sony Cyber-shot DSC-RX10 IV,32,4.85,3.08,8.8-220mm f/2.4-4.0,16.0,4.92,475,373545991,Turkey Vulture,Kathryn Young,2021,https://macaulaylibrary.org/asset/373545991,Sony,Cyber-shot DSC-RX10 IV,1200.0,20.1
Sony Alpha 1,31,4.93,2.95,FE 200-600mm F5.6-6.3 G OSS,10.0,4.94,461,502260161,Short-eared Owl,Nathan Kelley,2022,https://macaulaylibrary.org/asset/502260161,Sony,Alpha 1,4100.0,50.0
Nikon D5300,30,4.81,2.91,200.0-500.0 mm f/5.6,4.0,4.97,136,616529921,Chatham Albatross,Pablo Martinez Morales,2024,https://macaulaylibrary.org/asset/616529921,Nikon,D5300,400.0,24.2
Canon EOS 60D,28,4.89,2.84,EF100-400mm f/4.5-5.6L IS USM,7.0,4.76,88,230310511,Brant,Serena Pedane,2020,https://macaulaylibrary.org/asset/230310511,Canon,EOS 60D,200.0,18.0
Nikon COOLPIX P1000,25,4.8,2.73,,,4.92,85,423895101,Palestine Sunbird,×ž×•×˜×™ ×‘×™×™×¤×•×¡,2022,https://macaulaylibrary.org/asset/423895101,Nikon,COOLPIX P1000,1000.0,16.0
Olympus OM-D E-M1 Mark II,24,4.9,2.97,OLYMPUS M.300mm F4.0,11.0,4.92,238,203357431,Magnificent Frigatebird,Chris Brown,2020,https://macaulaylibrary.org/asset/203357431,Olympus,OM-D E-M1 Mark II,500.0,20.4
Nikon D7000,24,4.83,2.93,300.0 mm f/4.0,5.0,4.98,119,50087221,Golden-crowned Kinglet,Jacob McGinnis,2017,https://macaulaylibrary.org/asset/50087221,Nikon,D7000,200.0,16.2
Nikon D5600,23,4.81,2.79,150.0-600.0 mm f/5.0-6.3,5.0,4.95,96,526757791,Australian Owlet-nightjar,Nick Rogers,2023,https://macaulaylibrary.org/asset/526757791,Nikon,D5600,500.0,24.2
Olympus OM-1,23,4.93,2.95,OLYMPUS M.100-400mm F5.0-6.3,5.0,4.82,298,578928681,Red-tailed Hawk,Alex Sundvall,2023,https://macaulaylibrary.org/asset/578928681,Olympus,OM-1,1200.0,20.4
Sony Alpha 7 III,23,4.88,2.98,FE 200-600mm F5.6-6.3 G OSS,14.0,4.97,116,289384351,Spectacled Tyrant,Hederd Torres GarcÃ­a,2020,https://macaulaylibrary.org/asset/289384351,Sony,Alpha 7 III,1500.0,24.2
Canon PowerShot SX60 HS,22,4.75,2.8,3.8-247.0 mm,4.0,4.9,145,115751371,Vermilion Flycatcher,Daniel Clark,2018,https://macaulaylibrary.org/asset/115751371,Canon,PowerShot SX60 HS,500.0,20.3
Nikon Z8,21,4.96,3.03,AF-S NIKKOR 500mm f/5.6E PF ED VR,8.0,4.98,204,625979288,Scissor-tailed Flycatcher,Lisa Miller,2024,https://macaulaylibrary.org/asset/625979288,Nikon,Z8,3500.0,45.7
Sony Alpha 7 IV,20,4.89,2.88,FE 200-600mm F5.6-6.3 G OSS,17.0,5.0,97,522968011,Black-crested Coquette,Tyler Wenzel,2023,https://macaulaylibrary.org/asset/522968011,Sony,Alpha 7 IV,2500.0,33.0
Canon EOS-1D X,20,4.92,3.28,EF500mm f/4L IS II USM +1.4x III,3.0,4.97,174,259358411,Stripe-backed Bittern,Ghiorzo JoaquÃ­n,2019,https://macaulaylibrary.org/asset/259358411,Canon,EOS-1D X,1000.0,18.1
Nikon D810,19,4.84,2.78,200.0-500.0 mm f/5.6,5.0,4.98,97,233043451,Red-necked Phalarope,Kevin Pero,2020,https://macaulaylibrary.org/asset/233043451,Nikon,D810,800.0,36.3
Nikon COOLPIX P950,17,4.8,2.81,,,4.91,77,315198911,Canyon Wren,Mary Rumple,2021,https://macaulaylibrary.org/asset/315198911,Nikon,COOLPIX P950,800.0,16.0
Nikon D3400,16,4.89,2.85,70.0-300.0 mm f/4.5-6.3,4.0,4.96,93,339607841,Blue-headed Vireo,Rebecca Maier,2021,https://macaulaylibrary.org/asset/339607841,Nikon,D3400,250.0,24.2
Sony Alpha 7R IV,15,4.89,3.06,FE 200-600mm F5.6-6.3 G OSS,9.0,4.91,185,307978311,Green Jay,Angie Birmingham,2021,https://macaulaylibrary.org/asset/307978311,Sony,Alpha 7R IV,2000.0,61.0
Canon EOS 6D Mark II,14,4.94,2.9,EF100-400mm f/4.5-5.6L IS II USM,5.0,4.89,208,537625101,Great Blue Heron,Danielle Cooper,2023,https://macaulaylibrary.org/asset/537625101,Canon,EOS 6D Mark II,750.0,26.2
Canon EOS Rebel T3i,14,4.76,2.9,EF100-400mm f/4.5-5.6L IS USM,4.0,4.99,138,399017941,LeConte's Sparrow,Sean Cowden,2021,https://macaulaylibrary.org/asset/399017941,Canon,EOS Rebel T3i,150.0,18.0
Canon PowerShot SX50 HS,14,4.82,3.11,4.3-215.0 mm,1.0,4.92,193,35970611,California Condor,Jeff Culler,2015,https://macaulaylibrary.org/asset/35970611,Canon,PowerShot SX50 HS,200.0,12.1
Nikon D5200,13,4.8,2.85,300.0 mm f/4.0,1.0,4.91,143,28760101,Common Merganser,David Wade,2016,https://macaulaylibrary.org/asset/28760101,Nikon,D5200,250.0,24.1
Nikon D5,13,4.87,2.95,600.0 mm f/4.0,6.0,4.43,165,87680471,Gadwall,Vinoba Anand,2018,https://macaulaylibrary.org/asset/87680471,Nikon,D5,2100.0,20.8
Panasonic Lumix G9,13,4.82,2.89,LEICA DG 100-400/F4.0-6.3,2.0,4.9,79,347740821,Anna's Hummingbird,Grace Oliver,2021,https://macaulaylibrary.org/asset/347740821,Panasonic,Lumix G9,500.0,20.3
Nikon D610,13,4.84,2.9,150.0-600.0 mm f/5.0-6.3,5.0,4.85,107,231199371,Sahul Sunbird,Jan Lile,2020,https://macaulaylibrary.org/asset/231199371,Nikon,D610,500.0,24.3
Canon EOS Rebel T7i,13,4.91,3.07,EF400mm f/5.6L USM,3.0,4.98,121,436743581,Blue-headed Vireo,Will Bennett,2022,https://macaulaylibrary.org/asset/436743581,Canon,EOS Rebel T7i,600.0,24.2
Sony Alpha 9,12,4.96,3.22,FE 200-600mm F5.6-6.3 G OSS,8.0,4.9,169,467371931,Bald Eagle,Sam  Eberhard,2022,https://macaulaylibrary.org/asset/467371931,Sony,Alpha 9,1500.0,24.2
Canon EOS 6D,11,4.83,2.98,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,3.0,4.98,103,388744171,Daurian Redstart,Saku Saku,2018,https://macaulaylibrary.org/asset/388744171,Canon,EOS 6D,700.0,26.2
Nikon D800,11,4.92,2.97,200.0-500.0 mm f/5.6,2.0,4.98,120,603043221,Eastern Whip-poor-will,Megan Gray,2023,https://macaulaylibrary.org/asset/603043221,Nikon,D800,350.0,36.3
Canon EOS 77D,11,4.86,2.78,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3.0,4.8,56,431789201,Costa's Hummingbird,Jeremy Cowan,2022,https://macaulaylibrary.org/asset/431789201,Canon,EOS 77D,450.0,24.2
Canon EOS Rebel T5i,10,4.82,2.81,EF100-400mm f/4.5-5.6L IS II USM,2.0,4.74,103,102514241,Blackburnian Warbler,Tom Auer,2018,https://macaulaylibrary.org/asset/102514241,Canon,EOS Rebel T5i,300.0,18.0
Nikon D3300,10,4.83,2.94,70.0-300.0 mm f/4.5-5.6,3.0,4.75,118,388385331,Snow Goose,Dominique Blanc,2021,https://macaulaylibrary.org/asset/388385331,Nikon,D3300,250.0,24.2
Nikon D3500,10,4.88,3.15,70.0-300.0 mm f/4.5-6.3,2.0,4.87,216,278091841,Burrowing Owl,Brian Browne,2020,https://macaulaylibrary.org/asset/278091841,Nikon,D3500,500.0,24.2
Canon EOS-1D Mark IV,9,4.84,2.97,EF500mm f/4L IS USM +1.4x,2.0,4.75,205,58737651,Indigo Bunting,James Kinderman,2017,https://macaulaylibrary.org/asset/58737651,Canon,EOS-1D Mark IV,600.0,16.1
Canon EOS Rebel T6i,9,4.78,2.83,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3.0,4.84,80,521161421,Heermann's Gull,Oliver Kew,2022,https://macaulaylibrary.org/asset/521161421,Canon,EOS Rebel T6i,300.0,24.2
Canon EOS Rebel T6,8,4.8,2.97,EF400mm f/5.6L USM,2.0,4.91,154,154948661,Black-necked Stilt (Black-necked),Charlotte Farrell,2019,https://macaulaylibrary.org/asset/154948661,Canon,EOS Rebel T6,250.0,18.0
Sony Alpha 9 II,8,4.94,2.96,FE 200-600mm F5.6-6.3 G OSS,4.0,4.94,131,237548831,Pectoral Sandpiper,Geoff Newhouse,2020,https://macaulaylibrary.org/asset/237548831,Sony,Alpha 9 II,2500.0,24.2
Olympus OM-D E-M1X,8,4.85,3.12,M.300mm F4.0 + MC-14,3.0,4.95,128,609976569,LeConte's Sparrow,Gary Mueller,2023,https://macaulaylibrary.org/asset/609976569,Olympus,OM-D E-M1X,800.0,20.4
Nikon Z7 II,7,4.89,3.16,AF-S NIKKOR 500mm f/5.6E PF ED VR,2.0,4.95,87,616000243,Acorn Woodpecker,Mark Rauzon,2024,https://macaulaylibrary.org/asset/616000243,Nikon,Z7 II,1500.0,45.7
Panasonic Lumix DMC-FZ300,7,4.83,3.23,,,4.94,244,529869591,Steller's Sea-Eagle,Robin Duska,2023,https://macaulaylibrary.org/asset/529869591,Panasonic,Lumix DMC-FZ300,400.0,12.1
Canon PowerShot SX70 HS,7,4.8,2.88,3.8-247mm,7.0,4.9,90,415306831,Gray-headed Fish-Eagle,Danidu Geeganage,2021,https://macaulaylibrary.org/asset/415306831,Canon,PowerShot SX70 HS,700.0,20.3
Nikon Z6 II,7,4.93,3.1,VR 200-500mm f/5.6E,3.0,4.98,130,566502651,Emperor Goose,Sergius Hannan,2023,https://macaulaylibrary.org/asset/566502651,Nikon,Z6 II,1200.0,24.5
Nikon Z6 II,7,4.93,3.1,VR 200-500mm f/5.6E,3.0,4.98,130,566502651,Emperor Goose,Sergius Hannan,2023,https://macaulaylibrary.org/asset/566502651,Nikon,Z6 II,2200.0,24.5
Nikon COOLPIX B700,7,4.74,2.79,,,4.79,141,224081131,Great Egret,Shane Carroll,2020,https://macaulaylibrary.org/asset/224081131,Nikon,COOLPIX B700,400.0,20.2
Canon EOS Rebel T2i,7,4.91,3.12,150-600mm F5-6.3 DG OS HSM | Contemporary 015,3.0,4.91,69,415481861,Bohemian Waxwing,Nyjal Singh,2022,https://macaulaylibrary.org/asset/415481861,Canon,EOS Rebel T2i,150.0,18.0
Sony Alpha 6400,6,4.87,2.89,E 70-350mm F4.5-6.3 G OSS,3.0,4.79,92,304057101,Snow Bunting,Sylvie LaRoche,2021,https://macaulaylibrary.org/asset/304057101,Sony,Alpha 6400,650.0,24.2
Sony Alpha 6500,6,4.94,2.87,Sony FE 100-400mm F4.5-5.6 GM OSS (SEL100400GM),2.0,4.96,52,352466781,Band-tailed Manakin,Daniel Alfenas,2021,https://macaulaylibrary.org/asset/352466781,Sony,Alpha 6500,500.0,24.2
Sony Alpha 7R IVa,6,4.94,3.0,FE 200-600mm F5.6-6.3 G OSS,5.0,4.83,155,404664351,Ferruginous Hawk,Valentina Roumi,2022,https://macaulaylibrary.org/asset/404664351,Sony,Alpha 7R IVa,2500.0,61.0
Canon EOS R3,6,4.96,3.03,EF500mm f/4L IS II USM +1.4x III,1.0,4.99,145,617227873,Atlantic Puffin,Grzegorz DÅ‚ugosz,2023,https://macaulaylibrary.org/asset/617227873,Canon,EOS R3,3000.0,24.0
Canon EOS Rebel T5,6,4.7,2.66,EF75-300mm f/4-5.6,3.0,4.96,49,199578601,Ross's Goose,Patrick Sysiong,2020,https://macaulaylibrary.org/asset/199578601,Canon,EOS Rebel T5,200.0,18.0
Canon EOS 5DS R,6,4.92,2.94,EF800mm f/5.6L IS USM,1.0,4.8,59,330449741,Tree Swallow,Pierre Photography,2021,https://macaulaylibrary.org/asset/330449741,Canon,EOS 5DS R,1200.0,50.6
Canon EOS R6 II,6,4.92,3.24,RF200-800mm F6.3-9 IS USM,2.0,4.95,118,621151075,Guira Cuckoo,Fernando Calmon,2024,https://macaulaylibrary.org/asset/621151075,Canon,EOS R6 II,2000.0,24.2
Nikon D4S,6,4.95,3.04,600.0 mm f/4.0,2.0,4.94,71,300947511,Snowy Egret,Neil Rucker,2021,https://macaulaylibrary.org/asset/300947511,Nikon,D4S,1000.0,16.2
Nikon D600,6,4.83,2.75,150.0-500.0 mm f/5.0-6.3,1.0,4.79,68,158927281,Gray Catbird,Jean-SÃ©bastien Mayer,2019,https://macaulaylibrary.org/asset/158927281,Nikon,D600,400.0,24.3
Nikon D5500,6,4.86,2.96,150.0-600.0 mm f/5.0-6.3,2.0,4.9,62,386733681,White-sided Hillstar,Benjamin Figueroa,2021,https://macaulaylibrary.org/asset/386733681,Nikon,D5500,400.0,24.2
Nikon D90,6,4.72,2.81,,,4.92,78,230155011,Eastern Screech-Owl,Etienne ArtigauðŸ¦©,2020,https://macaulaylibrary.org/asset/230155011,Nikon,D90,150.0,12.3
Nikon D300,5,4.71,2.69,300.0 mm f/4.0,2.0,5.0,45,80374211,Chinstrap Penguin,Ken Wright,2017,https://macaulaylibrary.org/asset/80374211,Nikon,D300,150.0,12.3
Nikon COOLPIX P610,5,4.78,2.81,,,4.83,127,87350511,Sandhill Crane,Cole Gaerber,2016,https://macaulaylibrary.org/asset/87350511,Nikon,COOLPIX P610,250.0,16.0
Nikon D4,5,4.95,2.89,600.0 mm f/4.0,1.0,4.99,87,335636821,Trumpeter Swan,Raymond Ladurantaye,2021,https://macaulaylibrary.org/asset/335636821,Nikon,D4,600.0,16.2
Sony Cyber-shot DSC-RX10 III,5,4.62,2.67,8.8-220mm f/2.4-4.0,4.0,4.98,42,318064111,Caspian Tern,Andy Liu,2021,https://macaulaylibrary.org/asset/318064111,Sony,Cyber-shot DSC-RX10 III,500.0,20.1
Pentax K-3,5,4.66,2.81,smc PENTAX-DA* 300mm F4 ED [IF] SDM,1.0,4.94,52,195603861,Long-toed Stint,Volkov Sergey,2019,https://macaulaylibrary.org/asset/195603861,Pentax,K-3,500.0,24.3
Canon EOS 5D Mark II,5,4.91,3.01,EF400mm f/5.6L USM,1.0,4.71,84,61295321,Prothonotary Warbler,Tony Moline,2017,https://macaulaylibrary.org/asset/61295321,Canon,EOS 5D Mark II,350.0,21.1
Sony Alpha 6600,5,4.91,3.03,FE 200-600mm F5.6-6.3 G OSS,2.0,4.97,95,415375861,Eurasian Sparrowhawk,Javier Train Garcia,2022,https://macaulaylibrary.org/asset/415375861,Sony,Alpha 6600,1200.0,24.2
Sony Alpha 7R III,5,4.93,2.97,FE 200-600mm F5.6-6.3 G OSS,4.0,4.94,87,624975008,African Hawk-Eagle,Dominique Genna,2024,https://macaulaylibrary.org/asset/624975008,Sony,Alpha 7R III,1500.0,42.4
Canon EOS R8,4,4.9,2.79,RF100-400mm F5.6-8 IS USM,2.0,4.9,51,626543189,Dark-bellied Cinclodes,graichen & recer,2024,https://macaulaylibrary.org/asset/626543189,Canon,EOS R8,1500.0,24.2
Nikon Z5,4,4.91,3.25,VR 150-600mm f/5-6.3G,2.0,4.97,172,408718491,Black Phoebe,Alex Castelein,2022,https://macaulaylibrary.org/asset/408718491,Nikon,Z5,1100.0,24.3
Sony Alpha 6700,4,4.98,3.03,FE 200-600mm F5.6-6.3 G OSS,4.0,5.0,84,623205937,Rufous-crested Coquette,Guillermo  SaborÃ­o Vega,2024,https://macaulaylibrary.org/asset/623205937,Sony,Alpha 6700,1300.0,26.0
Canon EOS R10,4,4.95,2.89,150-600mm F5-6.3 DG OS HSM | Contemporary 015,2.0,4.79,62,625371894,Great Horned Owl,Lucas Pittman,2023,https://macaulaylibrary.org/asset/625371894,Canon,EOS R10,650.0,24.2
Nikon D3200,4,4.87,2.98,150.0-500.0 mm f/5.0-6.3,1.0,4.89,62,90079171,European Goldfinch,James Taylor,2018,https://macaulaylibrary.org/asset/90079171,Nikon,D3200,200.0,24.2
Nikon Z7,4,4.99,3.22,600.0 mm f/4.0,1.0,4.96,151,213783891,Eastern Bluebird,Keith Kennedy,2020,https://macaulaylibrary.org/asset/213783891,Nikon,Z7,1000.0,45.7
Nikon D700,4,4.92,3.15,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,1.0,4.92,119,41644021,Blue Grosbeak,Cliff Peterson,2015,https://macaulaylibrary.org/asset/41644021,Nikon,D700,300.0,12.1
Canon EOS 40D,4,4.82,2.65,,,4.69,39,264220541,Wattled Jacana,Carl Thomson,2020,https://macaulaylibrary.org/asset/264220541,Canon,EOS 40D,100.0,10.1
